::1 - - [15/Mar/2026 02:08:08] "GET /graph-highlight-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 02:08:08] "GET /core-load-bindings-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 02:08:08] "GET /vessel-search-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 02:08:08] "GET /admin-actions-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 02:08:08] "GET /modal-events-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 02:08:08] "GET /smitte-listeners-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 02:08:08] "GET /vessel-risk-filters-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 02:08:08] "GET /predictions-zone-filters-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 02:08:08] "GET /auto-load-manager.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 02:08:08] "GET /dom-init-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 02:08:08] "GET /b-surveys-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 02:08:08] "GET /lice-overview-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 02:08:08] "GET /help-guide.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 02:08:08] "GET /app.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 02:08:08] "GET /shared-glossary.json HTTP/1.1" 200 -
::1 - - [15/Mar/2026 02:08:08] "GET /favicon.svg HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET / HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /styles.css HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /help-guide.css HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /predictions-utils.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /predictions-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /lice-predictions-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /vessel-risk-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /audit-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /vessel-ops-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /smittespredning-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /facility-risk-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /correlation-network-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /admin-panel-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /overview-risk-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /data-loading-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /admin-core-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /ui-orchestration-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /listeners-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /correlation-detail-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /admin-correlations-render-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /admin-load-fallback-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /modal-helpers-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /graph-highlight-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /graph-controls-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /priority-actions-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /admin-actions-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /modal-events-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /ui-filter-bindings-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /smitte-listeners-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /core-load-bindings-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /vessel-risk-filters-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /predictions-zone-filters-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /vessel-search-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /b-surveys-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /lice-overview-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /dom-init-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /help-guide.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /auto-load-manager.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /app.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:08] "GET /shared-glossary.json HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:28:09] "GET /favicon.svg HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET / HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /styles.css HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /help-guide.css HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /predictions-utils.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /predictions-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /lice-predictions-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /vessel-risk-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /audit-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /vessel-ops-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /smittespredning-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /facility-risk-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /correlation-network-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /admin-panel-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /overview-risk-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /data-loading-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /admin-core-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /ui-orchestration-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /listeners-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /correlation-detail-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /admin-correlations-render-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /admin-load-fallback-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /modal-helpers-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /graph-highlight-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /graph-controls-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /priority-actions-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /admin-actions-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /modal-events-module.js HTTP/1.1" 200 -
