time,depth,latitude,longitude,so,thetao,vo,zos,uo
2026-01-29 23:00:00,0.494025,57.0,10.7500105,22.21695,0.55442685,0.004662184,-0.340862,-0.052832127
2026-01-29 23:00:00,0.494025,57.0,10.833344,22.288372,0.44708633,0.01226315,-0.3439582,-0.053565346
2026-01-29 23:00:00,0.494025,57.0,10.916677,22.202465,0.2075437,0.004080508,-0.34599206,-0.059706345
2026-01-29 23:00:00,0.494025,57.0,11.0000105,22.16601,0.21464105,-0.00872343,-0.34932968,-0.0687684
2026-01-29 23:00:00,0.494025,57.0,11.083344,22.235239,0.55404514,-0.012202447,-0.35401607,-0.079193935
2026-01-29 23:00:00,0.494025,57.0,11.166677,22.305119,0.9015605,-0.007845912,-0.35844043,-0.082227565
2026-01-29 23:00:00,0.494025,57.0,11.2500105,22.394007,1.1476892,0.0068024704,-0.36205864,-0.06958623
2026-01-29 23:00:00,0.494025,57.0,11.333344,22.575682,1.3773667,0.016738744,-0.3654148,-0.04937071
2026-01-29 23:00:00,0.494025,57.0,11.416677,22.952326,1.7254817,0.026270948,-0.36971074,-0.038523108
2026-01-29 23:00:00,0.494025,57.0,11.5000105,23.4234,1.9913496,0.06034589,-0.37299475,-0.05732986
2026-01-29 23:00:00,0.494025,57.0,11.583344,23.719326,2.2398965,0.13598582,-0.37090027,-0.11893021
2026-01-29 23:00:00,0.494025,57.0,11.666677,22.276083,1.9417346,0.13275543,-0.3584099,-0.18296917
2026-01-29 23:00:00,0.494025,57.0,11.7500105,21.292345,2.0019696,0.12265891,-0.34796825,-0.19641656
2026-01-29 23:00:00,0.494025,57.0,11.833344,20.763222,1.8288839,0.11959265,-0.34087703,-0.18747751
2026-01-29 23:00:00,0.494025,57.0,11.916677,20.619133,1.6309699,0.090428606,-0.33785865,-0.156073
2026-01-29 23:00:00,0.494025,57.0,12.0000105,20.61585,1.4336039,0.04545135,-0.3372641,-0.10222122
2026-01-29 23:00:00,0.494025,57.0,12.083344,20.69698,1.1854072,0.002159778,-0.33929753,-0.04809827
2026-01-29 23:00:00,0.494025,57.0,12.166677,20.670004,0.75062954,-0.026894007,-0.34179866,-0.036517657
2026-01-29 23:00:00,0.494025,57.0,12.2500105,19.991245,0.027833607,-0.009624185,-0.3405966,-0.041305937
2026-01-29 23:00:00,0.494025,57.0,12.333344,19.090925,-0.9760429,0.0076444824,-0.33855763,-0.039702583
2026-01-29 23:00:00,0.494025,57.0,12.416677,,,,,
2026-01-29 23:00:00,0.494025,57.0,12.5000105,,,,,
2026-01-29 23:00:00,0.494025,57.0,12.583344,,,,,
2026-01-29 23:00:00,0.494025,57.0,12.666677,,,,,
